#type	timestamp	serial	sender	destination	path	interface	member
#					in_reply_to
sig	1787915154.445889	24	:1.5	<none>	/org/a11y/atspi/accessible/224	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.445900	25	:1.5	<none>	/org/a11y/atspi/accessible/127	org.a11y.atspi.Event.Object	TextChanged
sig	1787915154.445903	26	:1.5	<none>	/org/a11y/atspi/accessible/127	org.a11y.atspi.Event.Object	TextChanged
sig	1787915154.445905	27	:1.5	<none>	/org/a11y/atspi/accessible/159	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.445907	28	:1.5	<none>	/org/a11y/atspi/accessible/126	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.445909	29	:1.5	<none>	/org/a11y/atspi/accessible/224	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.445911	30	:1.5	<none>	/org/a11y/atspi/accessible/127	org.a11y.atspi.Event.Object	TextChanged
sig	1787915154.445919	31	:1.5	<none>	/org/a11y/atspi/accessible/127	org.a11y.atspi.Event.Object	TextChanged
sig	1787915154.446797	32	:1.5	<none>	/org/a11y/atspi/accessible/152	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.447120	33	:1.5	<none>	/org/a11y/atspi/accessible/159	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.447360	34	:1.5	<none>	/org/a11y/atspi/accessible/1	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.447449	35	:1.5	<none>	/org/a11y/atspi/accessible/115	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.447832	36	:1.5	<none>	/org/a11y/atspi/accessible/225	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.452682	37	:1.5	<none>	/org/a11y/atspi/accessible/1	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.473516	38	:1.5	<none>	/org/a11y/atspi/accessible/115	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.473531	39	:1.5	<none>	/org/a11y/atspi/accessible/225	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.479470	40	:1.5	<none>	/org/a11y/atspi/accessible/226	org.a11y.atspi.Event.Object	TextChanged
sig	1787915154.479488	41	:1.5	<none>	/org/a11y/atspi/accessible/227	org.a11y.atspi.Event.Object	TextChanged
sig	1787915154.479490	42	:1.5	<none>	/org/a11y/atspi/accessible/228	org.a11y.atspi.Event.Object	TextChanged
sig	1787915154.479492	43	:1.5	<none>	/org/a11y/atspi/accessible/229	org.a11y.atspi.Event.Object	StateChanged
sig	1787915154.479494	44	:1.5	<none>	/org/a11y/atspi/accessible/229	org.a11y.atspi.Event.Object	StateChanged
sig	1787915154.479496	45	:1.5	<none>	/org/a11y/atspi/accessible/229	org.a11y.atspi.Event.Object	StateChanged
sig	1787915154.479499	46	:1.5	<none>	/org/a11y/atspi/accessible/229	org.a11y.atspi.Event.Document	LoadComplete
sig	1787915154.629747	47	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.644978	48	:1.5	<none>	/org/a11y/atspi/accessible/229	org.a11y.atspi.Event.Object	StateChanged
sig	1787915154.644995	49	:1.5	<none>	/org/a11y/atspi/accessible/231	org.a11y.atspi.Event.Object	StateChanged
sig	1787915154.644997	50	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.661985	51	:1.5	<none>	/org/a11y/atspi/accessible/231	org.a11y.atspi.Event.Object	StateChanged
sig	1787915154.662001	52	:1.5	<none>	/org/a11y/atspi/accessible/232	org.a11y.atspi.Event.Object	StateChanged
sig	1787915154.662003	53	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
